SECCIÓN,DIVISIÓN,GRUPO,CLASE,SUBCLASE,DESCRIPCIÓN,
,,,,13921,"Fabricación de frazadas, mantas de viaje, edredones, almohadas y otros artículos conexos",
,,,,13922,"Fabricación de mantelería, toallas y paños de cocina",
,,,,13923,"Fabricación de banderas, gallardetes, estandartes y similares",
,,,,13924,"Fabricación de cortinas, cenefas, visillos, fundas para diferentes objetos",
,,,,13929,"Fabricación de otros artículos confeccionados de materiales textiles, excepto prendas de vestir n.c.p.",
,,,1393,,Fabricación de tapices y alfombras,
,,,,13930,Fabricación de tapices y alfombras,
,,,1394,,"Fabricación de cuerdas, cordeles, bramantes y redes",
,,,,13940,"Fabricación de cuerdas, cordeles, bramantes, redes y mallas anudadas",
,,,1399,,Fabricación de otros productos textiles n.c.p.,
,,,,13991,Fabricación de artículos de pasamanería,
,,,,13992,"Fabricación de encajes, tules y bordados en piezas, tiras o motivos decorativos",
,,,,13999,Fabricación de otros productos textiles n.c.p.,
,14,,,,FABRICACIÓN DE PRENDAS DE VESTIR,
,,141,,,"Fabricación de prendas de vestir, excepto prendas de piel",
,,,1410,,"Fabricación de prendas de vestir, excepto prendas de piel",
,,,,14101,"Fabricación de prendas de vestir para hombres, mujeres y niños",
,,,,14102,Fabricación de prendas de vestir de cuero,
,,,,14103,"Fabricación de ropa de trabajo, uniformes y guardapolvos",
,,,,14104,Fabricación de ropa deportiva,
,,,,14105,Fabricación de sombreros y gorros,
,,,,14106,Fabricación de accesorios de vestir,
,,,,14107,Confección de prendas de vestir a medida,
,,,,14108,"Confección de disfraces, trajes típicos y similares",
,,142,,,Fabricación de artículos de piel,
,,,1420,,Fabricación de artículos de piel,
,,,,14201,Fabricación de prendas y accesorios de vestir de piel,
,,,,14202,Fabricación de artículos diversos de piel,
,,143,,,Fabricación de artículos de punto y ganchillo,
,,,1430,,Fabricación de prendas de tejidos de punto y ganchillo,
,,,,14301,Fabricaciónde prendas de vestir tejidas a máquina o a mano,
,,,,14302,Fabricación de complementos de vestir tejidas a máquina o a mano,
,,,,14303,"Fabricación de calcetines, medias y pantymedias",
,15,,,,"CURTIDO Y ADOBO DE CUEROS; FABRICACIÓN DE MALETAS, BOLSOS DE MANO, ARTÍCULOS DE TALABARTERÍA Y GUARDICIONERÍA Y CALZADO",
,,151,,,"Curtido y adobo de cueros; fabricación de maletas, bolsos de mano, artículos de talabartería y guarnicionería",
,,,1511,,"Curtido, teñido y adobo de cueros y pieles",
,,,,15111,"Curtido, teñido y adobo de cueros",
,,,,15112,"Curtido, teñido y adobo de pieles",
,,,1512,,"Fabricación de maletas, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería",
,,,,15120,"Fabricación de maletas, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería",
,,152,,,Fabricación de calzado,
,,,1520,,Fabricación de calzado,
,,,,15201,Fabricación de calzado para todo uso y de cualquier material,
,,,,15202,Fabricación de partes de cuero para calzado,
,16,,,,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES, FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",
,,161,,,Aserrado y cepillado de madera,
,,,1610,,"Aserrado, secado, tableado, descortezado y cepillado de madera",
,,,,16100,"Aserrado, secado, tableado, descortezado y cepillado de madera",
,,162,,,"Fabricación de productos de madera, corcho, paja y materiales trenzables",
,,,1621,,"Fabricación de hojas de madera, tableros de partículas a base de madera suficientemente delgadas",
,,,,16210,"Fabricación de hojas de madera, tableros de partículas a base de madera suficientemente delgadas",
,,,1622,,Fabricación de partes y piezas de carpintería para edificios y construcciones de madera,
,,,,16220,Fabricación de partes y piezas de carpintería para edificios y construcciones de madera,
,,,1623,,Fabricación de recipientes de madera,
,,,,16230,Fabricación de recipientes de madera,
,,,1629,,"Fabricación de otros productos de madera; de artículos de corcho, paja y materiales trenzables n.c.p.",
,,,,16290,"Fabricación de otros productos de madera; de artículos de corcho, paja y materiales trenzables n.c.p.",
,17,,,,FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL,
,,170,,,Fabricación de papel y de productos de papel,
,,,1701,,"Fabricación de pasta de madera, papel y cartón",
,,,,17010,"Fabricación de pasta de madera, papel y cartón",
,,,1702,,"Fabricación de papel, cartón ondulado y envases de papel y cartón",
,,,,17020,"Fabricación de papel, cartón ondulado y envases de papel y cartón",
,,,1709,,Fabricación de otros artículos de papel y cartón,
,,,,17091,Fabricación de artículos de papel de uso doméstico y para la higiene personal,
,,,,17092,"Fabricación de papel para imprimir, escribir y otros papeles listos para su utilización",
,,,,17099,Fabricación de artículos de papelería de uso educativo y otros productos de papel,
,18,,,,IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
,,181,,,Impresión y actividades de servicios relacionadas con la impresión,
,,,1811,,Actividades de impresión,
,,,,18110,Actividades de impresión,
,,,1812,,Actividades de encuadernación y otros servicios relacionadas con la impresión,
,,,,18120,Actividades de encuadernación y otros servicios relacionadas con la impresión,
,,182,,,Reproducción de grabaciones,
,,,1820,,Reproducción de grabaciones,
,,,,18200,Reproducción de grabaciones,
,19,,,,"FABRICACIÓN DE COQUE, PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO",
,,191,,,Fabricación de productos de hornos de coque,
,,,1910,,Fabricación de productos de hornos de coque,
,,,,19100,Fabricación de productos de hornos de coque,
,,192,,,Fabricación de productos de la refinación del petróleo,
,,,1920,,Fabricación de productos de la refinación del petróleo,
,,,,19201,Fabricación de combustibles líquidos o gaseosos,
,,,,19202,Fabricación de aceites o grasas combustibles a base de petróleo,
,,,,19209,Fabricación de otros productos a base de petróleo n.c.p.,
,20,,,,FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUÍMICOS,
,,201,,,"Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias",
,,,2011,,Fabricación de sustancias químicas básicas,
,,,,20111,"Fabricación de gases industriales, aire líquido o comprimido, gases refrigerantes, gases inertes y otros compuestos orgánicos",
,,,,20119,Fabricación de otras sustancias químicas básicas n.c.p.,
,,,2012,,Fabricación de abonos y compuestos de nitrógeno,
,,,,20120,Fabricación de abonos y compuestos de nitrógeno,
,,,2013,,Fabricación de plásticos y caucho sintético en formas primarias,
,,,,20130,Fabricación de plásticos y caucho sintético en formas primarias,
,,202,,,Fabricación de otros productos químicos,
,,,2021,,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,
,,,,20210,Fabricación de plaguicidas y otros productos químicos de uso agropecuario,
,,,2022,,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",
,,,,20220,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",
,,,2023,,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",
,,,,20231,Fabricación de jabones y detergentes,
,,,,20232,"Fabricación de cosméticos, perfumes, productos de higiene y tocador",
,,,,20233,"Fabricación de preparados para limpiar, pulir y desodorizar",
,,,2029,,Fabricación de otros productos químicos n c p,
,,,,20291,"Fabricación de explosivos, productos pirotécnicos, detonadores y similares",
,,,,20292,"Fabricación de colas, preparados adhesivos incluidos los preparados a base de caucho",
,,,,20293,"Fabricación de tinta para escribir o dibujar y otras tintas, excluidas las de imprenta",
,,,,20299,Fabricación de otros productos químicos n.c.p.,
,,203,,,Fabricación de fibras artificiales,
,,,2030,,Fabricación de fibras artificiales,
,,,,20300,Fabricación de fibras artificiales,
,21,,,,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO",
,,210,,,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",
,,,2100,,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",
,,,,21000,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",
,22,,,,FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO,
,,221,,,Fabricación de productos de caucho,
,,,2211,,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho,
,,,,22110,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho,
,,,2219,,"Fabricación de planchas, tubos, correas, cuerdas, conectores y otros productos de caucho",
,,,,22190,"Fabricación de planchas, tubos, correas, cuerdas, conectores y otros productos de caucho",
,,222,,,Fabricación de productos de plástico,
,,,2220,,Fabricación de productos de plástico,
,,,,22201,"Fabricación de planchas, hojas, tubos y mangueras de plástico; accesorios para estos productos",
,,,,22202,Fabricación de envases de plástico,
,,,,22203,"Fabricación de cubrimientos de plástico para pisos, paredes, techo y otros artículos de plástico para obras de construcción",
,,,,22204,Fabricación de artículos sanitarios de plástico,
,,,,22205,"Fabricación de artículos de mesa, cocina y tocador de plástico",
,,,,22209,Fabricación de otros productos de plástico n.c.p.,
,23,,,,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS,
,,231,,,Fabricación de vidrio y productos de vidrio,
,,,2310,,Fabricación de vidrio y productos de vidrio,
,,,,23101,Fabricación de vidrio plano,
,,,,23102,Fabricación de envases y recipientes de vidrio,
,,,,23109,Fabricación de otros productos de vidrio n.c.p.,
,,239,,,Fabricación de productos minerales no metálicos n.c.p.,
,,,2391,,Fabricación de productos refractarios,
,,,,23910,Fabricación de productos refractarios,
,,,2392,,Fabricación de materiales de construcción de arcilla,
,,,,23920,Fabricación de materiales de construcción de arcilla,
,,,2393,,Fabricación de otros productos de cerámica y porcelana,
,,,,23930,Fabricación de otros productos de cerámica y porcelana,
,,,2394,,"Fabricación de cemento, cal y yeso",
,,,,23941,Fabricación de cemento,
,,,,23942,Fabricación de cal y yeso,
,,,2395,,"Fabricación de artículos de hormigón, cemento y yeso",
,,,,23951,"Fabricación de materiales prefabricados de hormigón, cemento o piedra artificial para obras de construcción",
,,,,23952,Fabricación de artículos de yeso para la construcción,
,,,,23959,"Fabricación de otros artículos de hormigón, yeso, cemento o piedra artificial",
,,,2396,,"Corte, tallado y acabado de la piedra",
,,,,23960,"Corte, tallado y acabado de la piedra",
,,,2399,,Fabricación de otros productos minerales no metálicos n.c.p.,
,,,,23990,Fabricación de otros productos minerales no metálicos n.c.p.,
,24,,,,FABRICACIÓN DE METALES COMUNES,
,,241,,,Industrias básicas de hierro y acero,
,,,2410,,Industrias básicas de hierro y acero,
,,,,24100,Industrias básicas de hierro y acero (Siderurgia),
,,242,,,Fabricación de productos primarios de metales preciosos y metales no ferrosos,
,,,2420,,Fabricación de productos primarios de metales preciosos y metales no ferrosos,
,,,,24201,Fabricación de productos primarios de metales no ferrosos,
,,,,24202,Fabricación de metales preciosos en formas primarias,
,,243,,,Fundición de metales,
,,,2431,,Fundición de hierro y acero,
,,,,24310,Fundición de hierro y acero,
,,,2432,,Fundición de metales no ferrosos,
,,,,24320,Fundición de metales no ferrosos,
,25,,,,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",
,,251,,,"Fabricación de productos metálicos para uso estructural, tanques, depósitos, recipientes de metal y generadores de vapor",
,,,2511,,Fabricación de productos metálicos para uso estructural (construcción),
,,,,25110,Fabricación de productos metálicos para uso estructural (construcción),
,,,2512,,"Fabricación de tanques, calderas, depósitos y recipientes de metal",
,,,,25120,"Fabricación de tanques, calderas, depósitos y recipientes de metal",
,,,2513,,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",
,,,,25130,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",
,,252,,,Fabricación de armas y municiones,
,,,2520,,Fabricación de armas y municiones,
,,,,25200,Fabricación de armas y municiones,
,,259,,,Fabricación de otros productos fabricados de metal; actividades de servicios de trabajo de metales,
,,,2591,,"Forja, prensado, estampado y laminado de metales; pulvimetalurgia",
,,,,25910,"Forja, prensado, estampado y laminado de metales; pulvimetalurgia",
,,,2592,,"Tratamiento a metales: revestimiento, torneado, soldadura, enchapado, grabado, pulido, herrería y actividades afines",
,,,,25920,"Tratamiento a metales: revestimiento, torneado, soldadura, enchapado, grabado, pulido, herrería y  actividades afines",
,,,2593,,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",
,,,,25931,Fabricación de artículos de cuchillería,
,,,,25932,Fabricación de herramientas de mano y artículos de ferretería,
